City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
199,Riyadh,SA,24.6877,46.7219,98.74,8,9,9.84,clear sky
200,Deniliquin,AU,-35.5333,144.9667,55.99,61,18,7.36,few clouds
201,Korablino,RU,53.9164,40.0133,52.93,67,65,12.59,broken clouds
202,La Ronge,CA,55.1001,-105.2842,49.66,50,7,19.17,clear sky
203,Ponta Do Sol,PT,32.6667,-17.1,75.0,70,17,4.7,few clouds
204,Marystown,CA,47.1666,-55.1483,56.32,85,78,20.18,broken clouds
205,Nantucket,US,41.2835,-70.0995,73.99,94,1,9.22,clear sky
206,Talnakh,RU,69.4865,88.3972,38.73,97,100,11.25,light rain
207,Tres Arroyos,AR,-38.3739,-60.2798,45.05,57,0,8.57,clear sky
208,Poum,NC,-20.2333,164.0167,70.61,60,83,18.03,broken clouds
209,Mahina,PF,-17.5065,-149.489,76.77,78,75,3.44,light rain
210,Cape Town,ZA,-33.9258,18.4232,65.1,64,12,5.99,few clouds
211,Alice Springs,AU,-23.7,133.8833,90.95,13,42,10.36,scattered clouds
212,Polyanka,UA,50.2584,27.6881,69.31,45,25,8.97,scattered clouds
213,Padang,ID,-0.9492,100.3543,86.05,80,46,3.65,scattered clouds
214,Makakilo City,US,21.3469,-158.0858,77.32,78,1,4.61,clear sky
215,Korla,CN,41.7597,86.1469,86.61,16,98,18.52,overcast clouds
216,Midland,US,31.9974,-102.0779,72.27,63,1,10.36,clear sky
217,Bambous Virieux,MU,-20.3428,57.7575,76.21,72,4,9.22,clear sky
218,Sept-Iles,CA,50.2001,-66.3821,49.05,94,91,5.99,overcast clouds
219,Port-Gentil,GA,-0.7193,8.7815,77.4,82,89,9.24,overcast clouds
220,Tual,ID,-5.6667,132.75,82.06,80,8,15.57,clear sky
221,Wanning,CN,18.8003,110.3967,85.15,70,96,8.28,overcast clouds
222,Richards Bay,ZA,-28.783,32.0377,67.08,75,100,6.04,light rain
223,Pavilosta,LV,56.8879,21.1859,57.11,66,100,16.91,overcast clouds
224,Saint Anthony,US,45.0205,-93.218,69.69,61,75,4.0,broken clouds
225,Saskylakh,RU,71.9167,114.0833,41.45,93,100,15.01,light rain
226,Nyandoma,RU,61.669,40.1991,45.28,59,80,8.16,broken clouds
227,Mariental,NA,-24.6333,17.9667,63.25,22,0,8.86,clear sky
228,Nuuk,GL,64.1835,-51.7216,34.41,64,75,3.44,broken clouds
229,Mayo,US,38.8876,-76.5119,74.98,90,90,1.01,overcast clouds
230,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,14.97,few clouds
231,Bengkulu,ID,-3.8004,102.2655,82.62,82,51,7.43,light rain
232,Nacala,MZ,-14.5428,40.6728,85.42,53,6,10.71,clear sky
