City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
407,Katobu,ID,79.11,overcast clouds,-4.9408,122.5276,La Ode Husein
409,Portel,BR,72.27,few clouds,-1.9356,-50.8211,Kitnet do Marcos
410,Virginia Beach,US,75.22,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
415,Dharchula,IN,74.43,moderate rain,29.85,80.5333,Mahara Hotel
419,Mumford,GH,77.85,broken clouds,5.2618,-0.759,Spanish Villa
420,Obidos,BR,73.87,clear sky,-1.9175,-55.5181,Hotel Amazônia Center
423,Kiunga,PG,73.53,light rain,-6.1219,141.2906,Airport Lodge Kiunga
424,Kavaratti,IN,81.14,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
430,Qujing,CN,71.69,overcast clouds,25.4833,103.7833,Yulong Hotel
432,Sakaiminato,JP,74.7,overcast clouds,35.55,133.2333,味処・民宿 まつや
438,Majene,ID,80.42,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
440,French Harbor,HN,82.99,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
443,Pueblo,US,77.58,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
446,Morondava,MG,82.67,clear sky,-20.2833,44.2833,La Case Bambou
448,Asau,RO,74.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
455,Honolulu,US,78.62,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
456,Benidorm,ES,83.32,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
457,Bijawar,IN,77.34,overcast clouds,24.6333,79.5,Shreya agro agency bijawer
459,Kavieng,PG,81.18,light rain,-2.5744,150.7967,Nusa Island Retreat
460,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
462,Muli,MV,84.34,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
463,Barstow,US,77.7,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
470,Zwedru,LR,74.14,overcast clouds,6.0667,-8.1281,Elijah Worjloh
475,Samarai,PG,77.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
476,Ginir,ET,71.02,moderate rain,7.1333,40.7,Sura Dare Village
478,Zaysan,KZ,80.31,overcast clouds,47.4667,84.8667,Ерлан үй
479,Grenada,ES,71.69,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
480,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
488,Harper,LR,78.24,overcast clouds,4.375,-7.7169,Screensaver
491,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
493,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
494,Belle Fourche,US,75.06,few clouds,44.6714,-103.8522,Kings Inn
498,Ferrol,ES,70.72,broken clouds,43.4832,-8.2369,Parador de Ferrol
500,Jumilla,ES,76.77,clear sky,38.4792,-1.325,Hotel Monreal
501,Mayumba,GA,77.52,overcast clouds,-3.432,10.6554,LIKWALE LODGE
502,Nara,JP,74.48,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
506,Cabinda,AO,77.27,overcast clouds,-5.55,12.2,Hotel Maiombe
509,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
512,Wawa,NG,75.9,overcast clouds,9.9022,4.4192,
513,Juegang,CN,75.13,overcast clouds,32.3174,121.1855,Rudong Y Hotel
514,Neiafu,TO,78.17,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
515,Pangai,TO,77.16,few clouds,-19.8,-174.35,Ha'apai Beach Resort
516,Ekibastuz,KZ,75.79,broken clouds,51.6667,75.3667,
517,Sinnamary,GF,78.33,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
518,Payakumbuh,ID,80.08,light rain,-0.2202,100.6308,OYO 3114 Homestay Dalimo
525,Los Algarrobos,PA,72.9,overcast clouds,8.5,-82.4333,Waterfall Hostel
526,Mawlaik,MM,83.14,overcast clouds,23.6333,94.4167,AKZ Guest House
528,Prachuap Khiri Khan,TH,77.31,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
535,Nazare,BR,71.8,overcast clouds,-13.035,-39.0144,Hotel Victória Réghia
536,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
537,Mineiros,BR,70.84,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
545,Camopi,GF,70.21,scattered clouds,3.1655,-52.3158,
546,Shenjiamen,CN,77.2,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
547,Tukrah,LY,80.73,clear sky,32.5341,20.5791,Lagrota restaurant
555,Gustavo Diaz Ordaz,MX,78.69,scattered clouds,26.2333,-98.5833,Chikas En El Hotel
558,Zatreni,RO,81.57,clear sky,44.7667,23.85,
559,Muros,ES,72.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
560,Marsa Matruh,EG,81.5,clear sky,31.3525,27.2453,Beau Site
565,Nador,MA,78.87,few clouds,35.174,-2.9287,Hôtel La Giralda
568,Tuy Hoa,VN,84.31,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
569,Bull Savanna,JM,75.81,scattered clouds,17.8868,-77.5902,Big Red's
574,Cucuta,CO,71.8,broken clouds,7.8833,-72.5053,Hotel Casino Internacional
575,Palaiokhorion,GR,79.75,clear sky,40.95,24.1833,Peaceful mountain way
578,Thinadhoo,MV,84.72,overcast clouds,0.5333,72.9333,
579,Ciudad Bolivar,VE,74.84,clear sky,8.1222,-63.5497,Hotel Edi
580,San Rafael Del Sur,NI,74.79,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
582,Inhambane,MZ,83.75,clear sky,-23.865,35.3833,Oceano
583,Pontes E Lacerda,BR,75.52,overcast clouds,-15.2261,-59.3353,Hotel Bressan
584,Tucurui,BR,70.43,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
587,Amahai,ID,79.43,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
588,Constantine,DZ,81.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
595,Cabo Rojo,PR,79.79,broken clouds,18.0866,-67.1457,Hotel Perichi's
600,Gunjur,GM,79.92,overcast clouds,13.2019,-16.7339,Kuba Lodge
603,Puerto Narino,CO,73.35,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
605,Searcy,US,71.08,broken clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
606,Kinablangan,PH,80.38,overcast clouds,7.6947,126.5503,Danny Moreno Property
610,Alofi,NU,77.5,clear sky,-19.0595,-169.9187,Taloa Heights
611,Rwamagana,RW,78.24,overcast clouds,-1.9487,30.4347,Avega East Hostel
612,Kastoria,GR,78.39,broken clouds,40.5167,21.2667,Chloe Hotel Luxury Living & Suites
617,Homa Bay,KE,79.63,broken clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
622,Fenoarivo,MG,77.07,scattered clouds,-18.933,47.4354,Skyfol Ambodiafontsy
623,Tambopata,PE,70.07,overcast clouds,-12.7333,-69.1833,
624,Mattru,SL,74.35,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
630,Suphan Buri,TH,84.45,light rain,14.4742,100.1222,Vasidtee City Hotel
632,Fernley,US,70.21,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
633,Presidente Dutra,BR,72.07,few clouds,-5.29,-44.49,Pousada Planalto
634,Hobyo,SO,84.38,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
635,Bonthe,SL,75.99,moderate rain,7.5264,-12.505,Bonthe Holiday Village
638,Khani,GE,71.17,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
641,Acarau,BR,78.15,few clouds,-2.8856,-40.12,castelo pizzaria
643,Port Keats,AU,82.53,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
645,Kimbe,PG,76.35,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
