City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Cabo San Lucas,MX,2021-09-16 08:16:05,22.8909,-109.9124,81.61,81,14,9.19
110,Naze,JP,2021-09-16 08:19:40,28.3667,129.4833,83.32,77,41,13.91
111,Isangel,VU,2021-09-16 08:18:18,-19.55,169.2667,73.06,85,92,8.28
112,Boende,CD,2021-09-16 08:21:37,-0.2167,20.8667,76.5,91,93,6.08
113,Hato Mayor,DO,2021-09-16 08:21:38,18.7629,-69.256,72.43,94,2,2.21
114,Vysokogornyy,RU,2021-09-16 08:21:39,50.1167,139.15,56.07,68,100,3.27
115,Olafsvik,IS,2021-09-16 08:21:40,64.8945,-23.7142,52.36,90,100,17.49
116,Chuy,UY,2021-09-16 08:14:01,-33.6971,-53.4616,46.15,82,0,6.76
117,Tabriz,IR,2021-09-16 08:16:42,38.08,46.2919,80.06,16,0,11.5
118,Lebu,CL,2021-09-16 08:13:51,-37.6167,-73.65,46.13,86,4,6.76
119,Shibetsu,JP,2021-09-16 08:21:41,43.659,145.132,57.9,62,75,3.44
120,Koygorodok,RU,2021-09-16 08:21:42,60.445,50.9968,39.7,97,100,10.83
121,Touros,BR,2021-09-16 08:21:43,-5.1989,-35.4608,76.1,89,61,11.9
122,Puerto Ayora,EC,2021-09-16 08:13:06,-0.7393,-90.3518,65.55,97,34,1.01
123,Shache,CN,2021-09-16 08:17:05,38.4167,77.2406,87.6,14,0,3.24
124,Kodiak,US,2021-09-16 08:13:48,57.79,-152.4072,49.12,97,100,23.42
125,Montrose,US,2021-09-16 08:21:45,38.4166,-108.2673,51.37,29,0,3.65
126,Hofn,IS,2021-09-16 08:17:31,64.2539,-15.2082,51.82,93,90,9.22
127,Yerbogachen,RU,2021-09-16 08:17:09,61.2767,108.0108,43.61,69,100,4.65
128,Alekseyevsk,RU,2021-09-16 08:21:47,57.8406,108.3492,46.13,61,99,7.94
129,Ostrovnoy,RU,2021-09-16 08:21:48,68.0531,39.5131,43.56,96,100,21.54
130,Son La,VN,2021-09-16 08:19:07,21.3167,103.9,83.79,67,95,2.84
131,Tangi,PK,2021-09-16 08:21:49,34.3006,71.6536,96.8,40,0,3.33
132,Sulangan,PH,2021-09-16 08:21:49,11.1373,123.7228,82.27,73,100,13.49
133,Gazojak,TM,2021-09-16 08:21:50,41.1875,61.4036,91.2,9,0,7.09
134,Kita,ML,2021-09-16 08:21:50,13.0349,-9.4895,72.55,95,100,3.56
135,Dikson,RU,2021-09-16 08:13:52,73.5069,80.5464,38.55,91,100,24.56
136,Lagoa,PT,2021-09-16 08:15:01,39.05,-27.9833,70.9,79,6,7.47
137,Hithadhoo,MV,2021-09-16 08:16:59,-0.6,73.0833,83.26,70,58,8.41
138,Barrow,US,2021-09-16 08:13:13,71.2906,-156.7887,33.82,80,90,11.5
139,New Norfolk,AU,2021-09-16 08:16:58,-42.7826,147.0587,50.72,65,71,1.99
140,Fare,PF,2021-09-16 08:21:53,-16.7,-151.0167,78.76,75,0,19.35
141,Kaitangata,NZ,2021-09-16 08:14:38,-46.2817,169.8464,41.05,78,76,4.83
142,Brae,GB,2021-09-16 08:21:54,60.3964,-1.353,57.11,92,100,5.7
143,Tiksi,RU,2021-09-16 08:14:43,71.6872,128.8694,43.88,72,100,6.62
144,Bethel,US,2021-09-16 08:15:26,41.3712,-73.414,72.18,86,75,5.75
145,Pisco,PE,2021-09-16 08:21:56,-13.7,-76.2167,60.85,82,62,9.22
146,Mount Gambier,AU,2021-09-16 08:16:55,-37.8333,140.7667,53.82,73,0,2.98
147,Rawah,IQ,2021-09-16 08:21:57,34.4816,41.9093,89.73,27,0,10.94
148,Hermanus,ZA,2021-09-16 08:15:26,-34.4187,19.2345,61.9,70,99,10.11
149,Ballina,AU,2021-09-16 08:20:26,-28.8667,153.5667,59.18,78,0,12.82
150,Katsuura,JP,2021-09-16 08:14:22,35.1333,140.3,75.31,77,58,16.11
151,Vila Do Maio,CV,2021-09-16 08:21:59,15.1333,-23.2167,79.59,77,97,12.71
152,Lufilufi,WS,2021-09-16 08:22:00,-13.8745,-171.5986,74.98,78,23,22.79
153,Texarkana,US,2021-09-16 08:18:47,33.4251,-94.0477,72.1,87,1,1.01
154,Bestobe,KZ,2021-09-16 08:22:01,52.4994,73.0975,75.85,30,100,21.36
155,Severo-Kurilsk,RU,2021-09-16 08:17:08,50.6789,156.125,49.5,83,0,8.19
156,Alofi,NU,2021-09-16 08:20:27,-19.0595,-169.9187,75.09,88,1,6.91
